"CLUSTER_NM","SITE_ID","HOST_ID","GRAPH_ID","SERVER_IP","PORT_NO","SUBMIT_DATE","TOTAL_SUBMIT_COUNT","TOTAL_SUBMIT_CHR_COUNT","INS_TS","INS_BY","UPD_TS","UPD_BY"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,02-JAN-22,960170,960170,09-MAR-22 11.28.22.895398000 AM,"SKVN_DB_PRD",09-MAR-22 11.28.22.895398000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,03-JAN-22,983448,983448,09-MAR-22 11.28.30.810809000 AM,"SKVN_DB_PRD",09-MAR-22 11.28.30.810809000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,04-JAN-22,1067689,1067689,09-MAR-22 11.28.39.371345000 AM,"SKVN_DB_PRD",09-MAR-22 11.28.39.371345000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,05-JAN-22,1216167,1216167,09-MAR-22 11.28.48.007675000 AM,"SKVN_DB_PRD",09-MAR-22 11.28.48.007675000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,06-JAN-22,1048937,1048937,09-MAR-22 11.28.57.052274000 AM,"SKVN_DB_PRD",09-MAR-22 11.28.57.052274000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,17-JAN-22,880464,880464,09-MAR-22 11.30.34.052385000 AM,"SKVN_DB_PRD",09-MAR-22 11.30.34.052385000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,30-JAN-22,639130,639130,09-MAR-22 11.32.50.604334000 AM,"SKVN_DB_PRD",09-MAR-22 11.32.50.604334000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,31-JAN-22,1026032,1026032,09-MAR-22 11.33.01.068166000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.01.068166000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,01-FEB-22,1127479,1127479,09-MAR-22 11.33.10.315977000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.10.315977000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,06-MAR-22,788568,788568,09-MAR-22 11.37.26.735213000 AM,"SKVN_DB_PRD",09-MAR-22 11.37.26.735213000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","11","10.5.35.37",2910,07-MAR-22,265,265,08-MAR-22 06.34.09.773764000 PM,"SKVN_DB_PRD",08-MAR-22 06.34.09.773764000 PM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,07-MAR-22,1015387,1015387,08-MAR-22 06.34.09.773764000 PM,"SKVN_DB_PRD",08-MAR-22 06.34.09.773764000 PM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,14-JAN-22,946968,946968,09-MAR-22 11.30.09.690424000 AM,"SKVN_DB_PRD",09-MAR-22 11.30.09.690424000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,16-JAN-22,852556,852556,09-MAR-22 11.30.26.810630000 AM,"SKVN_DB_PRD",09-MAR-22 11.30.26.810630000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,20-JAN-22,803660,803660,09-MAR-22 11.30.58.289360000 AM,"SKVN_DB_PRD",09-MAR-22 11.30.58.289360000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,21-JAN-22,741994,741994,09-MAR-22 11.31.05.633263000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.05.633263000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,22-JAN-22,722295,722295,09-MAR-22 11.31.13.135960000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.13.135960000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,23-JAN-22,630781,630781,09-MAR-22 11.31.20.194212000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.20.194212000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,24-JAN-22,714496,714496,09-MAR-22 11.31.27.793978000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.27.793978000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,25-JAN-22,894344,894344,09-MAR-22 11.31.35.804575000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.35.804575000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,26-JAN-22,903313,903313,09-MAR-22 11.31.43.754945000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.43.754945000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,27-JAN-22,966927,966927,09-MAR-22 11.31.51.888379000 AM,"SKVN_DB_PRD",09-MAR-22 11.31.51.888379000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,28-JAN-22,970911,970911,09-MAR-22 11.32.00.334000000 AM,"SKVN_DB_PRD",09-MAR-22 11.32.00.334000000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,29-JAN-22,826456,826456,09-MAR-22 11.32.25.980153000 AM,"SKVN_DB_PRD",09-MAR-22 11.32.25.980153000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,02-FEB-22,1091857,1091857,09-MAR-22 11.33.17.971025000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.17.971025000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,03-FEB-22,1067154,1067154,09-MAR-22 11.33.25.547422000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.25.547422000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,04-FEB-22,1061996,1061996,09-MAR-22 11.33.33.105765000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.33.105765000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,05-FEB-22,1062441,1062441,09-MAR-22 11.33.41.130885000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.41.130885000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,06-FEB-22,968823,968823,09-MAR-22 11.33.48.442610000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.48.442610000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,07-FEB-22,1088636,1088636,09-MAR-22 11.33.56.050745000 AM,"SKVN_DB_PRD",09-MAR-22 11.33.56.050745000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,08-FEB-22,1104287,1104287,09-MAR-22 11.34.03.747607000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.03.747607000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,09-FEB-22,937426,937426,09-MAR-22 11.34.10.891818000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.10.891818000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,10-FEB-22,940195,940195,09-MAR-22 11.34.18.078719000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.18.078719000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,11-FEB-22,1057895,1057895,09-MAR-22 11.34.26.859161000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.26.859161000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,12-FEB-22,1284655,1284655,09-MAR-22 11.34.35.151169000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.35.151169000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,13-FEB-22,1023309,1023309,09-MAR-22 11.34.42.968654000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.42.968654000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,14-FEB-22,1096029,1096029,09-MAR-22 11.34.50.443397000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.50.443397000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,15-FEB-22,1097880,1097880,09-MAR-22 11.34.58.119362000 AM,"SKVN_DB_PRD",09-MAR-22 11.34.58.119362000 AM,"SKVN_DB_PRD"
"NORTH_IQ_PROD","6","42","12","10.5.35.37",2911,16-FEB-22,1089394,1089394,09-MAR-22 11.35.06.144462000 AM,"SKVN_DB_PRD",09-MAR-22 11.35.06.144462000 AM,"SKVN_DB_PRD"
