CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
NORTH,1,11,11,10.222.196.189,2775,17-Feb-22,372415,372415,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,11,12,10.222.196.189,2776,17-Feb-22,63353,63353,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,12,11,10.222.196.190,2780,17-Feb-22,693632,693632,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,12,12,10.222.196.190,2781,17-Feb-22,199999,199999,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,13,11,10.222.196.191,2785,17-Feb-22,190905,190905,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,13,12,10.222.196.191,2786,17-Feb-22,241979,241979,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,14,11,10.222.196.192,2790,17-Feb-22,78821,78821,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,14,12,10.222.196.192,2791,17-Feb-22,1574029,1577816,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,15,11,10.222.197.161,2795,17-Feb-22,2655879,2655879,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
NORTH,1,15,12,10.222.197.161,2796,17-Feb-22,2756008,2756008,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD,09-MAR-22 03.02.49.583853000 PM,SKVN_DB_PRD
