CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
SOUTH,2,19,12,10.92.208.114,2816,12-02-2022,2,2,09-MAR-22 11.51.33.182710000 AM,SKVS_DB_PRD,09-MAR-22 11.51.33.182710000 AM,SKVS_DB_PRD
SOUTH,2,11,11,10.92.208.104,2775,13-02-2022,6067565,6067565,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,11,12,10.92.208.104,2776,13-02-2022,19201194,19201194,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,12,11,10.92.208.105,2780,13-02-2022,451746,451746,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,12,12,10.92.208.105,2781,13-02-2022,131651,131651,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,13,11,10.92.208.106,2785,13-02-2022,53670,53670,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,13,12,10.92.208.106,2786,13-02-2022,9063948,9063948,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,14,11,10.92.208.107,2790,13-02-2022,204466,204466,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,14,12,10.92.208.107,2791,13-02-2022,1553662,1553662,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,15,11,10.92.208.108,2795,13-02-2022,4096936,4096936,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,15,12,10.92.208.108,2796,13-02-2022,7583223,7583223,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,16,11,10.92.208.109,2800,13-02-2022,7581413,8078978,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,16,12,10.92.208.109,2801,13-02-2022,9002330,9002330,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,17,11,10.92.208.110,2805,13-02-2022,3045644,3079213,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,17,12,10.92.208.110,2806,13-02-2022,6779662,6779662,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,18,11,10.92.208.113,2810,13-02-2022,6764919,7271951,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,18,12,10.92.208.113,2811,13-02-2022,9129264,9864811,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,19,11,10.92.208.114,2815,13-02-2022,4332480,4524888,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,19,12,10.92.208.114,2816,13-02-2022,3728329,3743607,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,20,11,10.92.208.115,2820,13-02-2022,3564258,4130027,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,20,12,10.92.208.115,2821,13-02-2022,29016704,29442206,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,31,11,10.92.208.127,2875,13-02-2022,380727,380727,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,31,12,10.92.208.127,2876,13-02-2022,2220,2220,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,32,11,10.92.208.128,2880,13-02-2022,168745,168745,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,32,12,10.92.208.128,2881,13-02-2022,2220,2220,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,33,11,10.92.208.129,2885,13-02-2022,1906904,1957066,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,33,12,10.92.208.129,2886,13-02-2022,13279349,13279349,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,34,11,10.92.208.130,2890,13-02-2022,1411222,1411222,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,34,12,10.92.208.130,2891,13-02-2022,8806975,8828600,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
SOUTH,2,35,11,10.92.208.131,2895,13-02-2022,1022837,1022837,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD,09-MAR-22 12.01.12.662810000 PM,SKVS_DB_PRD
